Creating daily buckets for 7 costs...
Costs by day:
 - Day 0: 1.00
 - Day 1: 5.10
 - Day 2: 2.50
 - Day 3: 6.30
 - Day 4: 3.34
===== END REPORT =====
Creating daily buckets for 11 costs...
Costs by day:
 - Day 0: 1.00
 - Day 1: 3.60
 - Day 2: 5.20
 - Day 3: 3.10
 - Day 4: 56.34
 - Day 5: 0.00
 - Day 6: 0.00
 - Day 7: 0.00
 - Day 8: 0.00
 - Day 9: 0.00
 - Day 10: 2.00
 - Day 11: 0.00
 - Day 12: 0.00
 - Day 13: 2.34
 - Day 14: 0.00
 - Day 15: 0.00
 - Day 16: 0.00
 - Day 17: 0.00
 - Day 18: 0.00
 - Day 19: 0.00
 - Day 20: 0.00
 - Day 21: 0.00
 - Day 22: 0.00
 - Day 23: 0.00
 - Day 24: 0.00
 - Day 25: 2.34
 - Day 26: 0.00
 - Day 27: 0.00
 - Day 28: 1.34
 - Day 29: 0.00
 - Day 30: 4.34
===== END REPORT =====
